snr_db,expected_frames,processed_frames,bad_frames,missed_frames,bad_plus_missed_frames,bad_plus_missed_pct,returncode
0.0,10000,7115,7115,2885,10000,100.000000,0
0.5,10000,7178,7178,2822,10000,100.000000,0
1.0,10000,7765,13638,2235,10000,100.000000,0
1.5,10000,7441,13886,2559,10000,100.000000,0
2.0,10000,8431,12574,1569,10000,100.000000,0
2.5,10000,8857,10509,1143,10000,100.000000,0
3.0,10000,9079,7933,921,8854,88.540000,0
3.5,10000,9350,5113,650,5763,57.630000,0
4.0,10000,9533,3222,467,3689,36.890000,0
4.5,10000,9683,2025,317,2342,23.420000,0
5.0,10000,9746,1552,254,1806,18.060000,0
5.5,10000,9843,852,157,1009,10.090000,0
6.0,10000,9898,544,102,646,6.460000,0
6.5,10000,9931,388,69,457,4.570000,0
7.0,10000,9946,280,54,334,3.340000,0
7.5,10000,9974,131,26,157,1.570000,0
8.0,10000,9982,75,18,93,0.930000,0
8.5,10000,9986,84,14,98,0.980000,0
9.0,10000,9996,14,4,18,0.180000,0
9.5,10000,9998,4,2,6,0.060000,0
10.0,10000,9995,27,5,32,0.320000,0
10.5,10000,9998,4,2,6,0.060000,0
11.0,10000,9998,4,2,6,0.060000,0
11.5,10000,9998,4,2,6,0.060000,0
12.0,10000,9998,4,2,6,0.060000,0
12.5,10000,9998,4,2,6,0.060000,0
13.0,10000,9998,4,2,6,0.060000,0
13.5,10000,9998,4,2,6,0.060000,0
14.0,10000,9998,4,2,6,0.060000,0
