snr_db,expected_frames,processed_frames,bad_frames,missed_frames,expected_bits,wrong_bits,missed_bits,error_bits,bit_error_pct,returncode
0.0,10000,6888,6888,3112,7280000,5014464,2265536,7280000,100.0,0
0.5,10000,7120,7120,2880,7280000,5183360,2096640,7280000,100.0,0
1.0,10000,7221,13709,2779,7280000,5256888,2023112,7280000,100.0,0
1.5,10000,7551,13184,2449,7280000,5497128,1782872,7280000,100.0,0
2.0,10000,7912,12290,2088,7280000,5759936,1520064,7280000,100.0,0
2.5,10000,9151,8923,849,7280000,6495944,618072,7114016,97.72,0
3.0,10000,9395,6245,605,7280000,4546360,440440,4986800,68.5,0
3.5,10000,9686,3235,314,7280000,2355080,228592,2583672,35.49,0
4.0,10000,9792,1662,208,7280000,1209936,151424,1361360,18.7,0
4.5,10000,9882,778,118,7280000,566384,85904,652288,8.96,0
5.0,10000,9932,349,68,7280000,254072,49504,303576,4.17,0
5.5,10000,9970,136,30,7280000,99008,21840,120848,1.66,0
6.0,10000,9979,99,21,7280000,72072,15288,87360,1.2,0
6.5,10000,9993,21,7,7280000,15288,5096,20384,0.28,0
7.0,10000,9998,10,2,7280000,7280,1456,8736,0.12,0
7.5,10000,9995,9,5,7280000,6552,3640,10192,0.14,0
8.0,10000,9996,24,4,7280000,17472,2912,20384,0.28,0
8.5,10000,9999,1,1,7280000,728,728,1456,0.02,0
9.0,10000,9996,7,4,7280000,5096,2912,8008,0.11,0
9.5,10000,9997,0,3,7280000,0,2184,2184,0.03,0
10.0,10000,9998,2,2,7280000,1456,1456,2912,0.04,0
10.5,10000,9999,0,1,7280000,0,728,728,0.01,0
11.0,10000,9999,0,1,7280000,0,728,728,0.01,0
11.5,10000,9999,0,1,7280000,0,728,728,0.01,0
12.0,10000,9998,2,2,7280000,1456,1456,2912,0.04,0
12.5,10000,9998,2,2,7280000,1456,1456,2912,0.04,0
13.0,10000,9998,2,2,7280000,1456,1456,2912,0.04,0
13.5,10000,9999,0,1,7280000,0,728,728,0.01,0
14.0,10000,9999,0,1,7280000,0,728,728,0.01,0
